CODE_DPTO,CODE_MUNICIPIO,DPTO,MUNICIPIO,LONGITUD,LATITUD
8,8634,ATLANTICO,SABANAGRANDE,-74.7585063109,10.7910757719
8,8638,ATLANTICO,SABANALARGA,-74.9210950072,10.6328326108
8,8675,ATLANTICO,SANTA LUCIA,-74.9592075848,10.3243082813
8,8685,ATLANTICO,SANTO TOMAS,-74.7577207286,10.7587230349
8,8758,ATLANTICO,SOLEDAD,-74.7848339582,10.9101742784
8,8770,ATLANTICO,SUAN,-74.8816874004,10.3354309226
8,8832,ATLANTICO,TUBARA,-74.9786801062,10.8736512946
8,8849,ATLANTICO,USIACURI,-74.9769840969,10.742979811
11,11001,BOGOTA,BOGOTA,-74.106715324,4.64993705899
13,13042,BOLIVAR,ARENAL,-73.9411210687,8.45862922844
13,13001,BOLIVAR,CARTAGENA DE INDIAS,-75.4964264795,10.3849883546
13,13006,BOLIVAR,ACHI,-74.5575205453,8.56945622216
13,13030,BOLIVAR,ALTOS DEL ROSARIO,-74.1650526808,8.79160326038
13,13052,BOLIVAR,ARJONA,-75.3444876588,10.256630539
13,13062,BOLIVAR,ARROYOHONDO,-75.019214913,10.250075878
13,13074,BOLIVAR,BARRANCO DE LOBA,-74.105224848,8.94773040932
13,13140,BOLIVAR,CALAMAR,-74.9161222621,10.2503611819
13,13160,BOLIVAR,CANTAGALLO,-73.9146507991,7.37831394834
13,13188,BOLIVAR,CICUCO,-74.645585537,9.27456085808
13,13212,BOLIVAR,CORDOBA,-74.8274640871,9.58690944657
13,13222,BOLIVAR,CLEMENCIA,-75.3285123927,10.5675414931
13,13244,BOLIVAR,EL CARMEN DE BOLIVAR,-75.1212066427,9.71861199322
13,13248,BOLIVAR,EL GUAMO,-74.9761147368,10.0309150057
13,13268,BOLIVAR,EL PENON,-73.9494279539,8.98822535038
13,13300,BOLIVAR,HATILLO DE LOBA,-74.0783633089,8.95561446403
13,13430,BOLIVAR,MAGANGUE,-74.7667304396,9.26381346247
13,13433,BOLIVAR,MAHATES,-75.1913392756,10.2332538997
13,13440,BOLIVAR,MARGARITA,-74.280926824,9.155517395
13,13442,BOLIVAR,MARIA LA BAJA,-75.3007611748,9.98264680271
13,13458,BOLIVAR,MONTECRISTO,-74.4714158637,8.29724472765
13,13473,BOLIVAR,MORALES,-73.8681407138,8.27630560493
13,13490,BOLIVAR,NOROSI,-74.0380603025,8.52597866614
13,13549,BOLIVAR,PINILLOS,-74.4624038627,8.91545237529
13,13580,BOLIVAR,REGIDOR,-73.8216376256,8.66625814425
13,13600,BOLIVAR,RIO VIEJO,-73.8399447912,8.587628771
